t              pw-in-box.fdtd_after_Ex_3_3_5.dat       incid
   0.00000000000000000E+000   0.000000000E+000   0.000000000E+000
   0.15406665526684904E-010   0.000000000E+000   0.000000000E+000
   0.30813331053369808E-010   0.000000000E+000   0.000000000E+000
   0.46219996580054712E-010   0.000000000E+000   0.000000000E+000
   0.61626662106739616E-010   0.000000000E+000   0.000000000E+000
   0.77033327633424520E-010   0.000000000E+000   0.000000000E+000
   0.92439993160109424E-010   0.000000000E+000   0.000000000E+000
   0.10784665868679433E-009   0.000000000E+000   0.000000000E+000
   0.12325332421347923E-009   0.000000000E+000   0.000000000E+000
   0.13865998974016414E-009   0.000000000E+000   0.000000000E+000
   0.15406665526684904E-009   0.000000000E+000   0.000000000E+000
   0.16947332079353394E-009   0.000000000E+000   0.000000000E+000
   0.18487998632021885E-009   0.000000000E+000   0.000000000E+000
   0.20028665184690375E-009   0.000000000E+000   0.000000000E+000
   0.21569331737358866E-009   0.000000000E+000   0.000000000E+000
   0.23109998290027356E-009   0.000000000E+000   0.000000000E+000
   0.24650664842695846E-009   0.000000000E+000   0.000000000E+000
   0.26191331395364337E-009   0.000000000E+000   0.213034907E-037
   0.27731997948032827E-009   0.000000000E+000   0.975923666E-037
   0.29272664500701318E-009   0.387175546E-035   0.448955670E-036
   0.30813331053369808E-009   0.229083373E-034   0.202497466E-035
   0.32353997606038298E-009   0.953373156E-034   0.895813150E-035
   0.33894664158706789E-009   0.389356606E-033   0.390974271E-034
   0.35435330711375279E-009   0.123868121E-032   0.168332306E-033
   0.36975997264043770E-009   0.468683446E-032   0.714958302E-033
   0.38516663816712260E-009   0.187661281E-031   0.299587078E-032
   0.40057330369380750E-009   0.739448777E-031   0.123838227E-031
   0.41597996922049241E-009   0.285406032E-030   0.504985438E-031
   0.43138663474717731E-009   0.108476518E-029   0.203157515E-030
   0.44679330027386222E-009   0.406730336E-029   0.806263394E-030
   0.46219996580054712E-009   0.150450954E-028   0.315657661E-029
   0.47760663132723202E-009   0.548952266E-028   0.121921672E-028
   0.49301329685391693E-009   0.197572017E-027   0.464556421E-028
   0.50841996238060183E-009   0.701400863E-027   0.174617905E-027
   0.52382662790728673E-009   0.245605641E-026   0.647539247E-027
   0.53923329343397164E-009   0.848305272E-026   0.236884145E-026
   0.55463995896065654E-009   0.289006218E-025   0.854868610E-026
   0.57004662448734145E-009   0.971142378E-025   0.304360564E-025
   0.58545329001402635E-009   0.321874724E-024   0.106898270E-024
   0.60085995554071125E-009   0.105224993E-023   0.370379637E-024
   0.61626662106739616E-009   0.339281187E-023   0.126603557E-023
   0.63167328659408106E-009   0.107899109E-022   0.426914206E-023
   0.64707995212076597E-009   0.338448497E-022   0.142014243E-022
   0.66248661764745087E-009   0.104703122E-021   0.466062715E-022
   0.67789328317413577E-009   0.319468876E-021   0.150886852E-021
   0.69329994870082068E-009   0.961385012E-021   0.481896623E-021
   0.70870661422750558E-009   0.285329369E-020   0.151836534E-020
   0.72411327975419049E-009   0.835178254E-020   0.471951614E-020
   0.73951994528087539E-009   0.241098979E-019   0.144714796E-019
   0.75492661080756029E-009   0.686392598E-019   0.437772931E-019
   0.77033327633424520E-009   0.192715169E-018   0.130641352E-018
   0.78573994186093010E-009   0.533607492E-018   0.384598324E-018
   0.80114660738761501E-009   0.145703874E-017   0.111700516E-017
   0.81655327291429991E-009   0.392340119E-017   0.320037585E-017
   0.83195993844098481E-009   0.104182604E-016   0.904570307E-017
   0.84736660396766972E-009   0.272800510E-016   0.252232995E-016
   0.86277326949435462E-009   0.704394253E-016   0.693838568E-016
   0.87817993502103953E-009   0.179350822E-015   0.188283685E-015
   0.89358660054772443E-009   0.450277156E-015   0.504060413E-015
   0.90899326607440933E-009   0.111467757E-014   0.133122980E-014
   0.92439993160109424E-009   0.272084770E-014   0.346832802E-014
   0.93980659712777914E-009   0.654811610E-014   0.891460249E-014
   0.95521326265446405E-009   0.155379182E-013   0.226038958E-013
   0.97061992818114895E-009   0.363509746E-013   0.565413500E-013
   0.98602659370783385E-009   0.838424992E-013   0.139527983E-012
   0.10014332592345188E-008   0.190651450E-012   0.339668235E-012
   0.10168399247612037E-008   0.427393038E-012   0.815732573E-012
   0.10322465902878886E-008   0.944483966E-012   0.193265738E-011
   0.10476532558145735E-008   0.205746878E-011   0.451711194E-011
   0.10630599213412584E-008   0.441818804E-011   0.104151739E-010
   0.10784665868679433E-008   0.935150395E-011   0.236909780E-010
   0.10938732523946282E-008   0.195096578E-010   0.531623183E-010
   0.11092799179213131E-008   0.401164345E-010   0.117685348E-009
   0.11246865834479980E-008   0.812967471E-010   0.257011940E-009
   0.11400932489746829E-008   0.162359556E-009   0.553712187E-009
   0.11554999145013678E-008   0.319545584E-009   0.117683452E-008
   0.11709065800280527E-008   0.619715279E-009   0.246750620E-008
   0.11863132455547376E-008   0.118421373E-008   0.510389109E-008
   0.12017199110814225E-008   0.222967600E-008   0.104146682E-007
   0.12171265766081074E-008   0.413583834E-008   0.209652615E-007
   0.12325332421347923E-008   0.755763541E-008   0.416345323E-007
   0.12479399076614772E-008   0.136039713E-007   0.815666468E-007
   0.12633465731881621E-008   0.241190747E-007   0.157643996E-006
   0.12787532387148470E-008   0.421136761E-007   0.300571202E-006
   0.12941599042415319E-008   0.724155100E-007   0.565349353E-006
   0.13095665697682168E-008   0.122603879E-006   0.104904905E-005
   0.13249732352949017E-008   0.204375425E-006   0.192033076E-005
   0.13403799008215866E-008   0.335370117E-006   0.346783395E-005
   0.13557865663482715E-008   0.541629447E-006   0.617801879E-005
   0.13711932318749565E-008   0.860868965E-006   0.108578006E-004
   0.13865998974016414E-008   0.134630250E-005   0.188250797E-004
   0.14020065629283263E-008   0.207122866E-005   0.321986845E-004
   0.14174132284550112E-008   0.313387159E-005   0.543306414E-004
   0.14328198939816961E-008   0.466260553E-005   0.904383051E-004
   0.14482265595083810E-008   0.681869369E-005   0.148514038E-003
   0.14636332250350659E-008   0.979948800E-005   0.240594061E-003
   0.14790398905617508E-008   0.138345704E-004   0.384507788E-003
   0.14944465560884357E-008   0.191796844E-004   0.606222893E-003
   0.15098532216151206E-008   0.260962242E-004   0.942892395E-003
   0.15252598871418055E-008   0.348286230E-004   0.144675490E-002
   0.15406665526684904E-008   0.455685949E-004   0.218995055E-002
   0.15560732181951753E-008   0.583991641E-004   0.327021629E-002
   0.15714798837218602E-008   0.732458793E-004   0.481750211E-002
   0.15868865492485451E-008   0.897858481E-004   0.700119603E-002
   0.16022932147752300E-008   0.107419684E-003   0.100375554E-001
   0.16176998803019149E-008   0.125177045E-003   0.141966520E-001
   0.16331065458285998E-008   0.141726996E-003   0.198084097E-001
   0.16485132113552847E-008   0.155339309E-003   0.272656921E-001
   0.16639198768819696E-008   0.164051628E-003   0.370243192E-001
   0.16793265424086545E-008   0.165590725E-003   0.495978594E-001
   0.16947332079353394E-008   0.157665228E-003   0.655454099E-001
   0.17101398734620243E-008   0.138376752E-003   0.854526162E-001
   0.17255465389887092E-008   0.106241670E-003   0.109903984E+000
   0.17409532045153941E-008   0.607165057E-004   0.139445469E+000
   0.17563598700420791E-008   0.214359534E-005   0.174542308E+000
   0.17717665355687640E-008  -0.676794007E-004   0.215526685E+000
   0.17871732010954489E-008  -0.145651124E-003   0.262545824E+000
   0.18025798666221338E-008  -0.227135635E-003   0.315510064E+000
   0.18179865321488187E-008  -0.306500500E-003   0.374046654E+000
   0.18333931976755036E-008  -0.377546996E-003   0.437463939E+000
   0.18487998632021885E-008  -0.433642766E-003   0.504734278E+000
   0.18642065287288734E-008  -0.469004328E-003   0.574496329E+000
   0.18796131942555583E-008  -0.479012815E-003   0.645083845E+000
   0.18950198597822432E-008  -0.461043324E-003   0.714577317E+000
   0.19104265253089281E-008  -0.414566399E-003   0.780883729E+000
   0.19258331908356130E-008  -0.342178624E-003   0.841837108E+000
   0.19412398563622979E-008  -0.248537632E-003   0.895309448E+000
   0.19566465218889828E-008  -0.140408345E-003   0.939340234E+000
