t              TwoCables.fdtd_Bulk probe_Jx_30_23_25__30_26_34.dat
   0.00000000000000000E+000   0.000000000E+000
   0.15406999677794464E-011   0.000000000E+000
   0.30813999355588928E-011   0.000000000E+000
   0.46220999033383392E-011   0.000000000E+000
   0.61627998711177856E-011   0.000000000E+000
   0.77034998388972320E-011   0.000000000E+000
   0.92441998066766784E-011   0.000000000E+000
   0.10784899774456125E-010   0.000000000E+000
   0.12325599742235571E-010   0.000000000E+000
   0.13866299710015018E-010   0.000000000E+000
   0.15406999677794464E-010   0.000000000E+000
   0.16947699645573910E-010   0.000000000E+000
   0.18488399613353357E-010   0.000000000E+000
   0.20029099581132803E-010   0.000000000E+000
   0.21569799548912250E-010   0.000000000E+000
   0.23110499516691696E-010   0.000000000E+000
   0.24651199484471142E-010   0.000000000E+000
   0.26191899452250589E-010   0.000000000E+000
   0.27732599420030035E-010   0.000000000E+000
   0.29273299387809482E-010   0.000000000E+000
   0.30813999355588928E-010   0.000000000E+000
   0.32354699323368374E-010   0.000000000E+000
   0.33895399291147821E-010   0.000000000E+000
   0.35436099258927267E-010   0.000000000E+000
   0.36976799226706714E-010   0.000000000E+000
   0.38517499194486160E-010   0.000000000E+000
   0.40058199162265606E-010   0.000000000E+000
   0.41598899130045053E-010   0.000000000E+000
   0.43139599097824499E-010   0.000000000E+000
   0.44680299065603946E-010   0.000000000E+000
   0.46220999033383392E-010   0.000000000E+000
   0.47761699001162838E-010   0.000000000E+000
   0.49302398968942285E-010   0.000000000E+000
   0.50843098936721731E-010   0.000000000E+000
   0.52383798904501178E-010   0.000000000E+000
   0.53924498872280624E-010   0.000000000E+000
   0.55465198840060070E-010   0.000000000E+000
   0.57005898807839517E-010   0.000000000E+000
   0.58546598775618963E-010   0.000000000E+000
   0.60087298743398410E-010   0.000000000E+000
   0.61627998711177856E-010   0.000000000E+000
   0.63168698678957302E-010   0.000000000E+000
   0.64709398646736749E-010   0.000000000E+000
   0.66250098614516195E-010   0.000000000E+000
   0.67790798582295642E-010   0.000000000E+000
   0.69331498550075088E-010   0.000000000E+000
   0.70872198517854534E-010   0.000000000E+000
   0.72412898485633981E-010   0.668385512E-037
   0.73953598453413427E-010   0.310651996E-036
   0.75494298421192874E-010   0.140686213E-035
   0.77034998388972320E-010   0.576784995E-035
   0.78575698356751766E-010   0.223168693E-034
   0.80116398324531213E-010   0.818220177E-034
   0.81657098292310659E-010   0.285292203E-033
   0.83197798260090106E-010   0.949073109E-033
   0.84738498227869552E-010   0.302116136E-032
   0.86279198195648998E-010   0.922728756E-032
