t              SphereRCS.fdtd_Point probe_Ey_50_50_13.dat       incid
   0.00000000000000000E+000   0.000000000E+000   0.000000000E+000
   0.30813331053369808E-010   0.000000000E+000   0.000000000E+000
   0.61626662106739616E-010   0.000000000E+000   0.000000000E+000
   0.92439993160109424E-010   0.000000000E+000   0.000000000E+000
   0.12325332421347923E-009   0.000000000E+000   0.000000000E+000
   0.15406665526684904E-009   0.000000000E+000   0.000000000E+000
   0.18487998632021885E-009   0.000000000E+000   0.000000000E+000
   0.21569331737358866E-009   0.000000000E+000   0.000000000E+000
   0.24650664842695846E-009   0.000000000E+000   0.000000000E+000
   0.27731997948032827E-009   0.000000000E+000   0.000000000E+000
   0.30813331053369808E-009   0.000000000E+000   0.000000000E+000
   0.33894664158706789E-009   0.000000000E+000   0.000000000E+000
   0.36975997264043770E-009   0.000000000E+000   0.000000000E+000
   0.40057330369380750E-009   0.000000000E+000   0.000000000E+000
   0.43138663474717731E-009   0.000000000E+000   0.000000000E+000
   0.46219996580054712E-009   0.000000000E+000   0.000000000E+000
   0.49301329685391693E-009   0.000000000E+000   0.000000000E+000
   0.52382662790728673E-009   0.000000000E+000   0.000000000E+000
   0.55463995896065654E-009   0.000000000E+000   0.000000000E+000
   0.58545329001402635E-009   0.000000000E+000   0.000000000E+000
   0.61626662106739616E-009   0.000000000E+000   0.000000000E+000
   0.64707995212076597E-009   0.000000000E+000   0.000000000E+000
   0.67789328317413577E-009   0.000000000E+000   0.000000000E+000
   0.70870661422750558E-009   0.000000000E+000   0.000000000E+000
   0.73951994528087539E-009   0.000000000E+000   0.000000000E+000
   0.77033327633424520E-009   0.000000000E+000   0.000000000E+000
   0.80114660738761501E-009   0.000000000E+000   0.000000000E+000
   0.83195993844098481E-009   0.000000000E+000   0.000000000E+000
   0.86277326949435462E-009   0.000000000E+000   0.000000000E+000
   0.89358660054772443E-009   0.000000000E+000   0.000000000E+000
   0.92439993160109424E-009   0.000000000E+000   0.000000000E+000
   0.95521326265446405E-009   0.000000000E+000   0.000000000E+000
   0.98602659370783385E-009   0.000000000E+000   0.000000000E+000
   0.10168399247612037E-008   0.000000000E+000   0.000000000E+000
   0.10476532558145735E-008   0.000000000E+000   0.000000000E+000
   0.10784665868679433E-008   0.000000000E+000   0.000000000E+000
   0.11092799179213131E-008   0.000000000E+000   0.000000000E+000
   0.11400932489746829E-008   0.000000000E+000   0.000000000E+000
   0.11709065800280527E-008   0.000000000E+000   0.000000000E+000
   0.12017199110814225E-008   0.000000000E+000   0.000000000E+000
   0.12325332421347923E-008   0.000000000E+000   0.000000000E+000
   0.12633465731881621E-008   0.000000000E+000   0.000000000E+000
   0.12941599042415319E-008   0.000000000E+000   0.000000000E+000
   0.13249732352949017E-008   0.000000000E+000   0.000000000E+000
